Freq  (Hz) 	 Gain (Linear)  	 Phase (deg)
758,655              0,288            -44,297
776,164              0,284            -45,033
794,418              0,281            -45,771
812,858              0,277            -46,494
831,671              0,273            -47,219
851,229              0,269            -47,945
870,973              0,266            -48,655
891,276              0,262            -49,361
911,951              0,258            -50,062
933,185              0,254            -50,756
954,978              0,251            -51,452
977,330              0,247            -52,134
1000,054              0,243            -52,811
1023,337              0,239            -53,483
1047,179              0,235            -54,146
1071,580              0,232            -54,801
1096,539              0,228            -55,449
1122,057              0,224            -56,091
1148,134              0,220            -56,717
1174,957              0,217            -57,345
1202,337              0,213            -57,957
1230,277              0,209            -58,566
1258,962              0,206            -59,168
1288,205              0,202            -59,758
1318,194              0,198            -60,341
1348,928              0,195            -60,919
1380,406              0,191            -61,487
1412,630              0,188            -62,047
1445,413              0,184            -62,598
1479,127              0,181            -63,140
1513,585              0,177            -63,676
1548,789              0,174            -64,198
1584,925              0,171            -64,719
1621,805              0,167            -65,225
1659,617              0,164            -65,728
1698,174              0,161            -66,215
1737,848              0,158            -66,702
1778,267              0,155            -67,172
1819,618              0,152            -67,638
1862,086              0,149            -68,099
1905,486              0,146            -68,542
1949,817              0,143            -68,991
1995,265              0,140            -69,423
2041,645              0,137            -69,853
2089,329              0,134            -70,270
2137,944              0,131            -70,679
2187,677              0,129            -71,077
2238,713              0,126            -71,475
2290,867              0,123            -71,865
2344,139              0,121            -72,238
2398,901              0,118            -72,613
2454,780              0,116            -72,975
2511,963              0,113            -73,336
2570,450              0,111            -73,683
2630,241              0,108            -73,973
2691,522              0,106            -74,310
2754,293              0,104            -74,639
2818,368              0,102            -74,963
2884,120              0,100            -75,282
2951,175              0,098            -75,592
3019,907              0,095            -75,899
3090,315              0,093            -76,196
3162,213              0,091            -76,487
3235,973              0,089            -76,774
3311,224              0,087            -77,055
3388,524              0,086            -77,325
3467,314              0,084            -77,593
3548,153              0,082            -77,857
3630,854              0,080            -78,111
3715,418              0,078            -78,362
3801,845              0,077            -78,604
3890,507              0,075            -78,847
3981,031              0,073            -79,080
4073,791              0,072            -79,312
4168,786              0,070            -79,538
4265,830              0,069            -79,752
4365,109              0,067            -79,963
4466,809              0,066            -80,179
4570,931              0,064            -80,383
4677,288              0,063            -80,583
4786,253              0,061            -80,779
4897,825              0,060            -80,973
5011,819              0,059            -81,161
5128,607              0,057            -81,340
5248,003              0,056            -81,519
5370,378              0,055            -81,695
5495,362              0,054            -81,864
5623,326              0,052            -82,035
5754,456              0,051            -82,196
5888,380              0,050            -82,355
6025,657              0,049            -82,509
6165,914              0,048            -82,664
6309,524              0,047            -82,813
6456,487              0,046            -82,956
6606,989              0,045            -83,096
6760,843              0,044            -83,235
6918,237              0,043            -83,366
7079,542              0,042            -83,500
7244,386              0,041            -83,625
7413,141              0,040            -83,752
7585,809              0,039            -83,873
7762,387              0,038            -83,996
7943,250              0,037            -84,113
8128,397              0,036            -84,223
8317,642              0,036            -84,336
8511,357              0,035            -84,442
8709,729              0,034            -84,546
8912,571              0,033            -84,650
9120,069              0,032            -84,752
9332,597              0,032            -84,849
9549,968              0,031            -84,943
9772,368              0,030            -85,040
9999,983              0,030            -85,123
